epsilon,delta,success
0.0001,0.01,N/A
0.0001,0.02,N/A
0.0001,0.03,N/A
0.0001,0.04,N/A
0.0001,0.05,N/A
0.0001,0.06,N/A
0.0001,0.07,N/A
0.0001,0.08,N/A
0.0001,0.09,N/A
0.0001,0.1,N/A
0.001,0.01,Accept
0.001,0.02,Accept
0.001,0.03,Accept
0.001,0.04,Accept
0.001,0.05,Accept
0.001,0.06,Accept
0.001,0.07,Accept
0.001,0.08,Accept
0.001,0.09,Accept
0.001,0.1,Accept
0.01,0.01,Accept
0.01,0.02,Accept
0.01,0.03,Accept
0.01,0.04,Accept
0.01,0.05,Accept
0.01,0.06,Accept
0.01,0.07,Accept
0.01,0.08,Accept
0.01,0.09,Accept
0.01,0.1,Accept
0.1,0.01,Accept
0.1,0.02,Accept
0.1,0.03,Accept
0.1,0.04,Accept
0.1,0.05,Accept
0.1,0.06,Accept
0.1,0.07,Accept
0.1,0.08,Accept
0.1,0.09,Accept
0.1,0.1,Accept
